name,,location,address,,,,,food,cost ,,tablebooking,onlinedelivery,,,,rating,,Rating text,cuisines,food,cost
Balada Mix,,Rio de Janeiro,"Rua AnÌ_bal de MendonÌ_a, 37, Ipanema, Rio de Janeiro",,,,,"Brazilian, Healthy Food, Juices, Pizza",90,,No,No,,,,4.6,,Excellent,"North Indian, Chinese, Continental, Thai","Brazilian, Healthy Food, Juices, Pizza",90
Garota de Ipanema,,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",,,,,"Brazilian, Bar Food",120,,No,No,,,,4.9,,Excellent,"Continental, North Indian, Chinese","Brazilian, Bar Food",120
ZazÌÁ BistrÌ« Tropical,,Rio de Janeiro,"Rua Joana AngÌ©lica, 40, Ipanema, Rio de Janeiro",,,,,Brazilian,170,,No,No,,,,4.6,,Excellent,"Pizza, Italian, Beverages, Desserts",Brazilian,170
FilÌ© de Ouro,,Rio de Janeiro,"Rua Jardim BotÌ¢nico, 731, Jardim BotÌ¢nico, Lagoa, Rio de Janeiro",,,,,Brazilian,90,,No,No,,,,4.3,,Very Good,"Pizza, Italian",Brazilian,90
D.O.C Ristorante,,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÌ©ricas, 3500, Barra da Tijuca, Rio de Janeiro",,,,,Italian,150,,No,No,,,,4,,Very Good,"Cafe, Continental, Desserts",Italian,150
Sushi Leblon,,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",,,,,Japanese,250,,No,No,,,,4.6,,Excellent,"North Indian, Cafe, Italian, Mexican, Continental",Japanese,250
Talho Capixaba,,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",,,,,"Bakery, Sandwich, Brazilian",120,,No,No,,,,4.4,,Very Good,"North Indian, South Indian, Asian, Continental","Bakery, Sandwich, Brazilian",120
Leme Light,,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",,,,,Brazilian,40,,No,No,,,,4.2,,Very Good,"Desserts, Ice Cream",Brazilian,40
Shirley,,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",,,,,"Brazilian, Seafood",250,,No,No,,,,4.2,,Very Good,"Fast Food, Street Food, South Indian","Brazilian, Seafood",250
Quiosque Chopp Brahma,,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",,,,,"Bar Food, Brazilian",70,,No,No,,,,0,,Not rated,"North Indian, Chinese, Continental","Bar Food, Brazilian",70
AprazÌ_vel,,Rio de Janeiro,"Rua AprazÌ_vel, 62, Santa Teresa, Rio de Janeiro",,,,,Brazilian,300,,No,No,,,,4.7,,Excellent,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",Brazilian,300
Aconchego Carioca,,Rio de Janeiro,"Rua BarÌ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",,,,,"Brazilian, Bar Food",85,,No,No,,,,4.6,,Excellent,"Italian, Fast Food","Brazilian, Bar Food",85
Garota de Ipanema,,Rio de Janeiro,"Avenida JoÌ£o Alves, 56, Urca, Rio de Janeiro",,,,,"Brazilian, Bar Food",80,,No,No,,,,4.3,,Very Good,"Cafe, Beverages, Desserts, Pizza","Brazilian, Bar Food",80
Cantina Famiglia Mancini,,SÌ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÌ£o Paulo 10000",,,,,"Italian, Pizza",250,,No,No,,,,4.5,,Excellent,"Cafe, Italian","Italian, Pizza",250
Templo da Carne - Marcos Bassi,,SÌ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÌ£o Paulo 01327000",,,,,"Steak, BBQ",250,,No,No,,,,4.4,,Very Good,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean","Steak, BBQ",250
Gopala Hari,,SÌ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÌ_Ì£o, SÌ£o Paulo",,,,,Indian,70,,No,No,,,,3.1,,Average,"Continental, Italian, Chinese",Indian,70
Jiquitaia,,SÌ£o Paulo,"Rua AntÌ«nio Carlos, 268, ConsolaÌ_Ì£o, SÌ£o Paulo",,,,,Brazilian,100,,No,No,,,,4.1,,Very Good,"North Indian, Italian, Asian, South Indian",Brazilian,100
Skye - Hotel Unique,,SÌ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÌ_s AntÌ«nio, 4700, Jardim Paulista, SÌ£o Paulo",,,,,"Beverages, International",300,,No,No,,,,4.8,,Excellent,"Cafe, American, Continental, Armenian, Fast Food","Beverages, International",300
Les 3 Brasseurs,,SÌ£o Paulo,"Rua JesuÌ_no Arruda, 470, Itaim Bibi, SÌ£o Paulo",,,,,"French, Brazilian, Beverages",120,,No,No,,,,4.6,,Excellent,Continental,"French, Brazilian, Beverages",120
Red Steak & Burger,,SÌ£o Paulo,"Rua TabapuÌ£, 1417, Itaim Bibi, SÌ£o Paulo",,,,,"Brazilian, Grill",75,,No,No,,,,3.9,,Good,"North Indian, South Indian, Fast Food","Brazilian, Grill",75
Cantinho da Gula,,SÌ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÌ£o Paulo, SP",,,,,Brazilian,55,,No,No,,,,0,,Not rated,"Cafe, Fast Food",Brazilian,55
Paris 6 Classique,,SÌ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo",,,,,French,200,,No,No,,,,3.4,,Average,"North Indian, Street Food, Fast Food",French,200
Kawa Sushi,,SÌ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÌ£o Paulo",,,,,"Sushi, Japanese",120,,No,No,,,,3.5,,Good,"North Indian, Chinese","Sushi, Japanese",120
A Figueira Rubaiyat,,SÌ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo 10000",,,,,"BBQ, Grill, Brazilian",300,,No,No,,,,4.3,,Very Good,"North Indian, Chinese","BBQ, Grill, Brazilian",300
Kinoshita,,SÌ£o Paulo,"Rua Jacques FÌ©lix, 405, Vila Nova ConceiÌ_Ì£o, Moema, SÌ£o Paulo",,,,,Sushi,230,,No,No,,,,3.9,,Good,"North Indian, South Indian, Chinese",Sushi,230
Meats,,SÌ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÌ£o Paulo",,,,,"Gourmet Fast Food, Burger",120,,No,No,,,,4.3,,Very Good,"American, Fast Food","Gourmet Fast Food, Burger",120
Paribar,,SÌ£o Paulo,"PraÌ_a Dom JosÌ© Gaspar, 42, RepÌ_blica, SÌ£o Paulo 10000",,,,,"Brazilian, Italian",150,,No,No,,,,4.3,,Very Good,Fast Food,"Brazilian, Italian",150
TerraÌ_o ItÌÁlia,,SÌ£o Paulo,"EdifÌ_cio ItÌÁlia - 41å¡ Andar, Avenida Ipiranga, 344, RepÌ_blica, SÌ£o Paulo",,,,,Italian,400,,No,No,,,,4.4,,Very Good,"North Indian, Mughlai",Italian,400
Divino FogÌ£o,,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÌ£o Paulo",,,,,"Brazilian, Mineira",65,,No,No,,,,0,,Not rated,"Italian, Pizza","Brazilian, Mineira",65
Super Grill,,SÌ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÌ_nior, 1089, Santo Amaro, SÌ£o Paulo",,,,,Brazilian,50,,No,No,,,,0,,Not rated,"Fast Food, American, Salad, Healthy Food",Brazilian,50
Esquina MocotÌ_,,SÌ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÌ£o Paulo",,,,,"Brazilian, North Eastern",100,,No,No,,,,4.4,,Very Good,"North Indian, Chinese","Brazilian, North Eastern",100
Veloso,,SÌ£o Paulo,"Rua ConceiÌ_Ì£o Veloso, 56, Vila Mariana, SÌ£o Paulo",,,,,"Brazilian, Bar Food, Beverages",70,,No,No,,,,4.6,,Excellent,"North Indian, Chinese, Italian","Brazilian, Bar Food, Beverages",70
Sainte Marie Gastronomia,,SÌ£o Paulo,"Rua Dom JoÌ£o Batista da Costa, 70, Vila SÌ«nia, SÌ£o Paulo",,,,,"Lebanese, Arabian",120,,No,No,,,,4.1,,Very Good,"South Indian, Chinese","Lebanese, Arabian",120
Austin's BBQ and Oyster Bar,,Albany,"2820 Meredyth Dr, Albany, GA 31707",,,,,"BBQ, Burger, Seafood",25,,No,No,,,,3.3,,Average,"Continental, Italian","BBQ, Burger, Seafood",25
BJ's Country Buffet,,Albany,"2401 Dawson Rd, Albany, GA 31707",,,,,"American, BBQ",10,,No,No,,,,3.3,,Average,North Indian,"American, BBQ",10
Cookie Shoppe,,Albany,"115 N Jackson St, Albany, GA 31701",,,,,,0,,No,No,,,,3.4,,Average,"North Indian, Fast Food",,0
El Vaquero Mexican Restaurant,,Albany,"2700 Dawson Rd, Albany, GA 31707",,,,,Mexican,0,,No,No,,,,3.4,,Average,"Desserts, Fast Food",Mexican,0
Elements Coffee Co - Northwest,,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",,,,,"Coffee and Tea, Sandwich",10,,No,No,,,,3.4,,Average,"South Indian, North Indian, Chinese, Continental","Coffee and Tea, Sandwich",10
Pearly's Famous Country Cookng,,Albany,"814 N Slappey Blvd, Albany, GA 31701",,,,,,0,,No,No,,,,3.4,,Average,"Mughlai, North Indian, Chinese",,0
Chick-fil-A,,Albany,"2703 Dawson Rd, Albany, GA 31707",,,,,Fast Food,10,,No,No,,,,3.5,,Good,"North Indian, Chinese",Fast Food,10
Guang Zhou Chinese Restaurant,,Albany,"1214 N Westover Blvd, Albany, GA 31707",,,,,"Asian, Chinese, Vegetarian",10,,No,No,,,,3.9,,Good,North Indian,"Asian, Chinese, Vegetarian",10
Harvest Moon,,Albany,"2347 Dawson Road, Albany, GA 31707",,,,,"Pizza, Bar Food, Sandwich",25,,No,No,,,,3.7,,Good,Beverages,"Pizza, Bar Food, Sandwich",25
Henry Campbell's Steakhouse,,Albany,"629 N. Westover Blvd, Albany, GA 31707",,,,,"Steak, Tapas, Bar Food",70,,No,No,,,,3.5,,Good,"North Indian, Mughlai","Steak, Tapas, Bar Food",70
Hong Kong Cafe,,Albany,"2700 Dawson Rd, Albany, GA 31707",,,,,"Chinese, Seafood, Vegetarian",25,,No,No,,,,3.6,,Good,Street Food,"Chinese, Seafood, Vegetarian",25
House of China Restaurant II,,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",,,,,Chinese,10,,No,No,,,,3.8,,Good,North Indian,Chinese,10
Jimmie's Hot Dogs,,Albany,"204 S Jackson St, Albany, GA 31701",,,,,,10,,No,No,,,,3.9,,Good,"Cafe, Bakery, Fast Food",,10
Locos Grill & Pub,,Albany,"547 N Westover Blvd, Albany, GA 31707",,,,,"American, Burger, Sandwich",25,,No,No,,,,3.5,,Good,"North Indian, Mughlai, Chinese","American, Burger, Sandwich",25
Longhorn Steakhouse,,Albany,"2733 Dawson Rd, Albany, GA 31707",,,,,"American, Steak",25,,No,No,,,,3.5,,Good,"Fast Food, Italian","American, Steak",25
Mikata Japanese Steakhouse,,Albany,"2610 Dawson Rd, Albany, GA 31707",,,,,"Japanese, Steak, Sushi",40,,No,No,,,,3.6,,Good,"North Indian, Chinese","Japanese, Steak, Sushi",40
Shogun Japanese Steak House,,Albany,"629 N Westover Blvd, Albany, GA 31707",,,,,"Japanese, Steak, Sushi",40,,No,No,,,,3.5,,Good,"North Indian, Street Food","Japanese, Steak, Sushi",40
The Catch Seafood Room & Oyster Bar,,Albany,"2332 Whispering Pines Road, Albany, GA 31707",,,,,"Seafood, Tapas, Bar Food",40,,No,No,,,,3.8,,Good,"North Indian, South Indian, Chinese, Fast Food","Seafood, Tapas, Bar Food",40
Villa Gargano,,Albany,"1604 N Slappey Blvd, Albany, GA 31701",,,,,"Italian, Pizza",10,,No,No,,,,3.7,,Good,"North Indian, Fast Food","Italian, Pizza",10
3 Squares Diner,,Albany,"202 W Franklin St, Sylvester, GA 31791",,,,,"American, Breakfast, Diner",10,,No,No,,,,3.4,,Average,"North Indian, Fast Food","American, Breakfast, Diner",10
Whitebull Hotel,,Armidale,"117 Marsh St, Armidale, NSW",,,,,"Bar Food, Steak",20,,No,No,,,,3.5,,Good,,"Bar Food, Steak",20
Last Resort Grill,,Athens,"184 W Clayton St, Athens, GA 30601",,,,,"American, Southern, Southwestern",40,,No,No,,,,4.5,,Excellent,,"American, Southern, Southwestern",40
Mama's Boy Restaurant,,Athens,"197 Oak St, GA 30601",,,,,Southern,10,,No,No,,,,4.5,,Excellent,,Southern,10
Sr. Sol 1,,Athens,"175 Tallassee Rd, Athens, GA 30606",,,,,Mexican,10,,No,No,,,,4.6,,Excellent,,Mexican,10
Choo Choo Eastside,,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",,,,,"Japanese, Korean",10,,No,No,,,,3.9,,Good,,"Japanese, Korean",10
The Grill,,Athens,"171 College Ave, Athens, GA 30601",,,,,"Breakfast, Burger, Sandwich",10,,No,No,,,,3.7,,Good,,"Breakfast, Burger, Sandwich",10
Big City Bread Cafe,,Athens,"393 N Finley St, Athens, GA 30601",,,,,"Breakfast, Sandwich",10,,No,No,,,,4.3,,Very Good,,"Breakfast, Sandwich",10
Clocked,,Athens,"259 W Washington St, Athens, GA 30601",,,,,"American, Burger, Sandwich",10,,No,No,,,,4.2,,Very Good,,"American, Burger, Sandwich",10
DePalma's Italian Cafe - Downtown,,Athens,"401 E Broad St, Athens, GA 30601",,,,,"American, Italian, Pizza",25,,No,No,,,,4,,Very Good,,"American, Italian, Pizza",25
DePalma's Italian Cafe - East Side,,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",,,,,"American, Italian, Pizza",25,,No,No,,,,4.1,,Very Good,,"American, Italian, Pizza",25
Five & Ten,,Athens,"1073 South Milledge Ave, Athens, GA 30605",,,,,American,40,,No,No,,,,4.3,,Very Good,,American,40
Grit,,Athens,"199 Prince Ave, Athens, GA 30601",,,,,"International, Southern, Vegetarian",10,,No,No,,,,4.2,,Very Good,,"International, Southern, Vegetarian",10
Ike & Jane,,Athens,"1307 Prince Ave, Athens, GA 30606",,,,,Sandwich,10,,No,No,,,,4.1,,Very Good,,Sandwich,10
La Dolce Vita Ristorante,,Athens,"323 E Broad St, Athens, GA 30601",,,,,Italian,40,,No,No,,,,4.1,,Very Good,,Italian,40
Shokitini,,Athens,"251 W Clayton St, Athens, GA 30601",,,,,"Asian, Japanese, Sushi",25,,No,No,,,,4.2,,Very Good,,"Asian, Japanese, Sushi",25
Taqueria Del Sol,,Athens,"334 Prince Ave, Athens, GA 30601",,,,,"Mexican, Spanish",10,,No,No,,,,4.1,,Very Good,,"Mexican, Spanish",10
The National,,Athens,"232 W. Hancock Ave., Athens, GA 30601",,,,,"International, Southern",40,,No,No,,,,4.1,,Very Good,,"International, Southern",40
The Royal Peasant,,Athens,"1675 S. Lumpkin St., Athens, GA 30606",,,,,Bar Food,10,,No,No,,,,4.4,,Very Good,,Bar Food,10
Transmetropolitan,,Athens,"145 E Clayton St, Athens, GA 30601",,,,,"Italian, Pizza, Sandwich",10,,No,No,,,,4.4,,Very Good,,"Italian, Pizza, Sandwich",10
Trappeze Pub,,Athens,"269 N Hull St, Athens, GA 30601",,,,,"Burger, Bar Food",25,,No,No,,,,4.2,,Very Good,,"Burger, Bar Food",25
Viva! Argentine Cuisine,,Athens,"247 Prince Ave, Athens, GA 30601",,,,,"Desserts, Latin American, Argentine",10,,No,No,,,,4.1,,Very Good,,"Desserts, Latin American, Argentine",10
Miyabi Kyoto Japanese Steak House,,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",,,,,"Chinese, Steak",40,,No,No,,,,4.6,,Excellent,,"Chinese, Steak",40
Rae's Coastal Cafe,,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",,,,,"American, Caribbean, Seafood",40,,No,No,,,,4.9,,Excellent,,"American, Caribbean, Seafood",40
The Bee's Knees,,Augusta,"211 10th Street, Augusta, GA 30901",,,,,"International, Tapas, Vegetarian",25,,No,No,,,,4.5,,Excellent,,"International, Tapas, Vegetarian",25
