Name,cost ,cuisines,location,food,ratings,address,name,cost
Fozzie's Pizzaiolo,900,"Pizza, Italian, Beverages, Desserts",Ahmedabad,Prompt Service,4.6,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Fozzie's Pizzaiolo,900
La Pino'z Pizza,500,"Pizza, Italian",Ahmedabad,Biryani,4.3,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",La Pino'z Pizza,500
Mocha,1000,"Cafe, Continental, Desserts",Ahmedabad,"Butter Chicken, Noodles, Thali, Biryani",4,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro",Mocha,1000
Blue -  Rooftop Cafe Restaurant Bistro,1000,"North Indian, Cafe, Italian, Mexican, Continental",Ahmedabad,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",4.6,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Blue -  Rooftop Cafe Restaurant Bistro,1000
MoMo Cafí© - Courtyard By Marriott,1400,"North Indian, South Indian, Asian, Continental",Ahmedabad,"Paratha, Pasta",4.4,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",MoMo Cafí© - Courtyard By Marriott,1400
Cryo Lab,350,"Desserts, Ice Cream",Ahmedabad,Street Food,4.2,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Cryo Lab,350
Swati Snacks,450,"Fast Food, Street Food, South Indian",Ahmedabad,Street Food,4.2,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Swati Snacks,450
Brick Kitchen,900,"North Indian, Chinese, Continental",Ahmedabad,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",0,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Brick Kitchen,900
Kabir Restaurant,600,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",Ahmedabad,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",4.7,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Kabir Restaurant,600
Puffizza,700,"Italian, Fast Food",Ahmedabad,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",4.6,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Puffizza,700
Cafe Alfresco,700,"Cafe, Beverages, Desserts, Pizza",Ahmedabad,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",4.3,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Cafe Alfresco,700
The Cafe Baraco,600,"Cafe, Italian",Ahmedabad,Street Food,4.5,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000",The Cafe Baraco,600
Nini's Kitchen,950,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",Ahmedabad,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",4.4,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000",Nini's Kitchen,950
Yanki Sizzlers,1200,"Continental, Italian, Chinese",Ahmedabad, wamama special mocktail and to finish fried ice cream. Everything was good.'),3.1,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Yanki Sizzlers,1200
The Garden Cafe - The Fern,1200,"North Indian, Italian, Asian, South Indian",Ahmedabad,Street Food,4.1,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",The Garden Cafe - The Fern,1200
Mazzo,550,"Cafe, American, Continental, Armenian, Fast Food",Ahmedabad,Street Food,4.8,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo",Mazzo,550
Turquoise Villa,1200,Continental,Ahmedabad,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",4.6,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Turquoise Villa,1200
Aryan Family's Delight,500,"North Indian, South Indian, Fast Food",Allahabad, 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'),3.9,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Aryan Family's Delight,500
Bean Here,350,"Cafe, Fast Food",Allahabad,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",0,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Bean Here,350
Bikanerwala,500,"North Indian, Street Food, Fast Food",Allahabad,Biryani,3.4,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Bikanerwala,500
Dewsis,600,"North Indian, Chinese",Allahabad,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",3.5,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Dewsis,600
Friends Forever,600,"North Indian, Chinese",Allahabad,Biryani,4.3,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Friends Forever,600
Hotel Ravisha Continental,600,"North Indian, South Indian, Chinese",Allahabad,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",3.9,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Hotel Ravisha Continental,600
KFC,500,"American, Fast Food",Allahabad,Biryani,4.3,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",KFC,500
McDonald's,400,Fast Food,Allahabad,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",4.3,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",McDonald's,400
Pind Balluchi,800,"North Indian, Mughlai",Allahabad,"South Indian, North Indian",4.4,"Edifí_cio Itíçlia - 41ŒÁ Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Pind Balluchi,800
Pizza Hut,700,"Italian, Pizza",Allahabad,Biryani,0,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo",Pizza Hut,700
Subway,400,"Fast Food, American, Salad, Healthy Food",Allahabad,"South Indian, North Indian",0,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo",Subway,400
Tandoor Restaurant,500,"North Indian, Chinese",Allahabad,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",4.4,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Tandoor Restaurant,500
The BrewMaster,0,"North Indian, Chinese, Italian",Allahabad,Masala Dosa,4.6,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",The BrewMaster,0
The Tamarind Tree,500,"South Indian, Chinese",Allahabad,"South Indian, North Indian",4.1,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",The Tamarind Tree,500
Cafe El Chico,1000,"Continental, Italian",Allahabad, 'RATED\n  Exhaustive mouth watery menu ,3.3,"2820 Meredyth Dr, Albany, GA 31707",Cafe El Chico,1000
Eat On,200,North Indian,Allahabad,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",3.3,"2401 Dawson Rd, Albany, GA 31707",Eat On,200
Hot Stuff,500,"North Indian, Fast Food",Allahabad,Masala Dosa,3.4,"115 N Jackson St, Albany, GA 31701",Hot Stuff,500
Paradise,500,"Desserts, Fast Food",Allahabad,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",3.4,"2700 Dawson Rd, Albany, GA 31707",Paradise,500
Sagar Ratna,400,"South Indian, North Indian, Chinese, Continental",Allahabad,Masala Dosa,3.4,"2726 Ledo Rd Ste 10, Albany, GA 31707",Sagar Ratna,400
Moti Mahal Delux,800,"Mughlai, North Indian, Chinese",Allahabad,"South Indian, North Indian",3.4,"814 N Slappey Blvd, Albany, GA 31701",Moti Mahal Delux,800
Makhan Fish and Chicken Corner,700,"North Indian, Chinese",Amritsar,Masala Dosa,3.5,"2703 Dawson Rd, Albany, GA 31707",Makhan Fish and Chicken Corner,700
Charming Chicken,300,North Indian,Amritsar,Masala Dosa,3.9,"1214 N Westover Blvd, Albany, GA 31707",Charming Chicken,300
Ahuja Milk Bhandar,100,Beverages,Amritsar,"Berryblast, Waffles, Cheesecake, Salted Caramel",3.7,"2347 Dawson Road, Albany, GA 31707",Ahuja Milk Bhandar,100
Crystal Restaurant,800,"North Indian, Mughlai",Amritsar,Masala Dosa,3.5,"629 N. Westover Blvd, Albany, GA 31707",Crystal Restaurant,800
Brijwasi Chat Bhandar,150,Street Food,Amritsar,"South Indian, North Indian",3.6,"2700 Dawson Rd, Albany, GA 31707",Brijwasi Chat Bhandar,150
Bubby Fish & Chicken Corner,300,North Indian,Amritsar,Masala Dosa,3.8,"2526 Dawson Rd Ste A, Albany, GA 31707",Bubby Fish & Chicken Corner,300
Bon Gateau,500,"Cafe, Bakery, Fast Food",Amritsar,"South Indian, North Indian",3.9,"204 S Jackson St, Albany, GA 31701",Bon Gateau,500
The Yellow Chilli,1200,"North Indian, Mughlai, Chinese",Amritsar,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",3.5,"547 N Westover Blvd, Albany, GA 31707",The Yellow Chilli,1200
La Roma Pizzeria,400,"Fast Food, Italian",Amritsar,"Fast Food, Continental, Italian, Bakery",3.5,"2733 Dawson Rd, Albany, GA 31707",La Roma Pizzeria,400
Sakhis Watz Kukin,700,"North Indian, Chinese",Amritsar,Masala Dosa,3.6,"2610 Dawson Rd, Albany, GA 31707",Sakhis Watz Kukin,700
The Kulcha Land,200,"North Indian, Street Food",Amritsar,"South Indian, North Indian",3.5,"629 N Westover Blvd, Albany, GA 31707",The Kulcha Land,200
Shudh Restaurant,600,"North Indian, South Indian, Chinese, Fast Food",Amritsar,Masala Dosa,3.8,"2332 Whispering Pines Road, Albany, GA 31707",Shudh Restaurant,600
Bade Bhai Ka Brothers' Dhaba,500,"North Indian, Fast Food",Amritsar,"South Indian, North Indian",3.7,"1604 N Slappey Blvd, Albany, GA 31701",Bade Bhai Ka Brothers' Dhaba,500
Bharawan Da Dhaba,500,"North Indian, Fast Food",Amritsar,"Fast Food, Continental, Italian, Bakery",3.4,"202 W Franklin St, Sylvester, GA 31791",Bharawan Da Dhaba,500
